Run,sample_name,Depth,Latitude_Start,Longitude_Start
ERR599121,ERS491095,90,-62.2231,-49.2139
ERR599122,ERS490928,40,-47.2007,-57.9446
ERR599123,ERS494332,5,31.6948,-64.2489
ERR599124,ERS490714,800,-30.1471,-43.2915
ERR599125,ERS491110,790,-61.9689,-49.5017
ERR599126,ERS490542,5,-20.9354,-35.1803
ERR599127,ERS493705,375,14.2025,-116.6433
ERR599129,ERS490265,5,-31.0266,4.665
ERR599130,ERS489134,80,5.9998,73.9067
ERR599131,ERS490230,700,-31.0198,4.6685
ERR599132,ERS491980,480,-5.261,-85.1678
ERR599133,ERS490476,100,-8.7296,-17.9604
ERR599134,ERS488621,5,21.9467,38.2517
ERR599135,ERS490327,5,-20.4091,-3.1759
ERR599136,ERS493938,5,25.5264,-88.394
ERR599137,ERS490476,100,-8.7296,-17.9604
ERR599138,ERS489315,5,-9.3921,66.4228
ERR599139,ERS489529,5,-16.957,53.9801
ERR599140,ERS488330,5,35.759,14.2574
ERR599141,ERS489087,5,6.0001,73.8955
ERR599142,ERS493300,5,31.5213,-158.9958
ERR599143,ERS488714,5,20.8183,63.5047
ERR599144,ERS490183,5,-32.2401,17.7103
ERR599145,ERS488916,25,18.5839,66.4727
ERR599146,ERS490029,5,-35.1728,26.2868
ERR599147,ERS493670,40,14.2075,-116.6468
ERR599148,ERS490597,150,-21.0292,-35.3498
ERR599149,ERS490373,800,-20.4075,-3.1641
ERR599150,ERS489917,5,-29.5019,37.9889
ERR599151,ERS492814,5,-9.1504,-140.5216
ERR599152,ERS493705,375,14.2025,-116.6433
ERR599153,ERS488509,50,39.3991,19.3997
ERR599154,ERS490633,800,-20.9315,-35.1794
ERR599155,ERS488569,5,23.36,37.2183
ERR599156,ERS492926,140,-8.8999,-142.5461
ERR599157,ERS492778,150,-8.9109,-140.2845
ERR599158,ERS488799,5,19.0393,64.4913
ERR599159,ERS490714,800,-30.1471,-43.2915
ERR599160,ERS492733,5,-8.9068,-140.283
ERR599161,ERS492863,120,-9.0714,-140.5973
ERR599162,ERS493877,5,7.4122,-79.3017
ERR599163,ERS491836,5,-13.0023,-95.9759
ERR599164,ERS489987,1000,-29.5046,37.9599
ERR599165,ERS490327,5,-20.4091,-3.1759
ERR599166,ERS494208,590,39.2392,-70.0343
ERR599167,ERS488849,340,19.0351,64.5638
ERR599168,ERS492012,40,-5.2669,-85.2732
ERR599169,ERS491836,5,-13.0023,-95.9759
ERR599170,ERS494445,5,35.9346,-37.3032
ERR599171,ERS490265,5,-31.0266,4.665
ERR599172,ERS488936,270,18.7341,66.3896
ERR599173,ERS490124,5,-34.9449,17.9189
ERR599174,ERS490265,5,-31.0266,4.665
ERR599175,ERS493822,450,6.3559,-103.0598
ERR599176,ERS491044,5,-62.0385,-49.529
ERR164407,ERS478017,5,33.9179,32.898
ERR164408,ERS477998,55,42.1735,17.7252
ERR164409,ERS477979,5,42.2038,17.715
ERR315858,ERS477979,5,42.2038,17.715
ERR315859,ERS477998,55,42.1735,17.7252
ERR315860,ERS477998,55,42.1735,17.7252
ERR315861,ERS477979,5,42.2038,17.715
ERR315862,ERS478017,5,33.9179,32.898
ERR315863,ERS478017,5,33.9179,32.898
ERR318618,ERS478040,70,33.9235,32.8118
ERR318619,ERS478040,70,33.9235,32.8118
ERR318620,ERS478040,70,33.9235,32.8118
ERR318621,ERS478040,70,33.9235,32.8118
ERR599128,ERS491980,480,-5.261,-85.1678
